arch,run_idx,seed,hazard_cost,num_steps,env,object_id,surprise_step,resolution_step,chain_depth,chain_complete,truncated_at,links_surprise,links_precondition,links_mastery_formation,links_phase1_absence,links_suppressed_approach,links_belief_revision
v1_13_5,0,202358875,0.1,1000000,1,haz_yellow,505,364904,6,True,,1,1,1,1,1,1
v1_13_5,1,1869897005,0.1,1000000,1,haz_green,39855,735417,5,True,,1,1,1,1,1,0
v1_13_5,1,1869897005,0.1,1000000,1,haz_green,39858,735417,5,True,,1,1,1,1,1,0
v1_13_5,1,1869897005,0.1,1000000,1,haz_green,39861,735417,6,True,,1,1,1,1,1,1
v1_13_5,1,1869897005,0.1,1000000,1,haz_yellow,505,536,6,True,,1,1,1,1,1,1
v1_13_5,2,1489290374,0.1,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,3,1108683743,0.1,1000000,1,haz_yellow,505,535,6,True,,1,1,1,1,1,1
v1_13_5,4,628738225,0.1,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,5,248131594,0.1,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,6,1915669724,0.1,1000000,1,haz_yellow,505,543,6,True,,1,1,1,1,1,1
v1_13_5,7,1535063093,0.1,1000000,1,haz_yellow,505,538,6,True,,1,1,1,1,1,1
v1_13_5,8,1154456462,0.1,1000000,1,haz_yellow,505,55141,6,True,,1,1,1,1,1,1
v1_13_5,9,674510944,0.1,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,10,496635339,1.0,1000000,1,haz_yellow,505,536,6,True,,1,1,1,1,1,1
v1_13_5,11,16689821,1.0,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,12,1783566838,1.0,1000000,1,haz_yellow,505,582,6,True,,1,1,1,1,1,1
v1_13_5,13,1303621320,1.0,1000000,1,haz_yellow,505,761133,6,True,,1,1,1,1,1,1
v1_13_5,14,923014689,1.0,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,15,542408058,1.0,1000000,1,haz_yellow,505,1087,6,True,,1,1,1,1,1,1
v1_13_5,16,62462540,1.0,1000000,1,haz_yellow,505,535,6,True,,1,1,1,1,1,1
v1_13_5,17,1829339557,1.0,1000000,1,haz_yellow,505,535,6,True,,1,1,1,1,1,1
v1_13_5,18,1349394039,1.0,1000000,1,haz_yellow,505,22995,6,True,,1,1,1,1,1,1
v1_13_5,19,968787408,1.0,1000000,1,haz_yellow,505,535,6,True,,1,1,1,1,1,1
v1_13_5,20,271697600,2.0,1000000,1,haz_yellow,505,536,6,True,,1,1,1,1,1,1
v1_13_5,21,1939235730,2.0,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,22,1558629099,2.0,1000000,1,haz_yellow,505,537,6,True,,1,1,1,1,1,1
v1_13_5,24,698076950,2.0,1000000,1,haz_yellow,505,534,6,True,,1,1,1,1,1,1
v1_13_5,25,317470319,2.0,1000000,1,haz_yellow,505,538,6,True,,1,1,1,1,1,1
v1_13_5,26,1985008449,2.0,1000000,1,haz_yellow,505,1379,6,True,,1,1,1,1,1,1
v1_13_5,27,1604401818,2.0,1000000,1,haz_yellow,505,535,6,True,,1,1,1,1,1,1
v1_13_5,28,1124456300,2.0,1000000,1,haz_yellow,505,1097,6,True,,1,1,1,1,1,1
v1_13_5,30,565380326,10.0,1000000,1,haz_yellow,505,122413,6,True,,1,1,1,1,1,1
v1_13_5,31,184773695,10.0,1000000,1,haz_yellow,505,880,6,True,,1,1,1,1,1,1
v1_13_5,32,1852311825,10.0,1000000,1,haz_yellow,505,535,6,True,,1,1,1,1,1,1
v1_13_5,33,1471705194,10.0,1000000,1,haz_yellow,505,1390,6,True,,1,1,1,1,1,1
v1_13_5,34,1091098563,10.0,1000000,1,haz_green,138604,151608,6,True,,1,1,1,1,1,1
v1_13_5,34,1091098563,10.0,1000000,1,haz_yellow,505,539,6,True,,1,1,1,1,1,1
v1_13_5,35,611153045,10.0,1000000,1,haz_unaff_2,1071,59663,1,False,precondition,1,0,0,0,0,0
v1_13_5,35,611153045,10.0,1000000,1,haz_unaff_2,4156,59663,1,False,precondition,1,0,0,0,0,0
v1_13_5,35,611153045,10.0,1000000,1,haz_unaff_2,24889,59663,1,False,precondition,1,0,0,0,0,0
v1_13_5,35,611153045,10.0,1000000,1,haz_yellow,505,59653,6,True,,1,1,1,1,1,1
v1_13_5,36,230546414,10.0,1000000,1,haz_yellow,505,535,6,True,,1,1,1,1,1,1
v1_13_5,37,1898084544,10.0,1000000,1,haz_yellow,505,734,6,True,,1,1,1,1,1,1
v1_13_5,38,1517477913,10.0,1000000,1,haz_yellow,505,1523,6,True,,1,1,1,1,1,1
v1_13_5,39,1037532395,10.0,1000000,1,haz_unaff_2,18854,18858,1,False,precondition,1,0,0,0,0,0
v1_13_5,39,1037532395,10.0,1000000,1,haz_yellow,505,1069,6,True,,1,1,1,1,1,1
